"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q131615","","","بحيرة شتارنبيرغير","","Starnberger See","Lake Starnberg","Lago de Starnberg","lac de Starnberg","","","Starnbergi-tó","Danau Starnberg","lago di Starnberg","シュタルンベルク湖","슈타른베르크 호","Starnberger See","Starnberger See","Lago Starnberger","Штарнбергер-Зе","Starnbergsjön","","Hồ Starnberg","施坦贝尔格湖"
"Q188487","","","بحيرة تراسيمينو","","Trasimenischer See","Lake Trasimeno","Lago Trasimeno","lac Trasimène","","","Trasimeno-tó","","lago Trasimeno","トラジメーノ湖","트라시메노 호","Trasimeense Meer","Jezioro Trazymeńskie","Lago Trasimeno","Тразимено","Lago Trasimeno","Trasimeno Gölü","","特拉西梅诺湖"
"Q165782","","","","","Steinhuder Meer","Steinhuder Meer","Steinhuder Meer","lac de Steinhude","","","Steinhuder Meer","Steinhuder Meer","lago di Steinhuder","","","Steinhuder Meer","Steinhuder Meer","Steinhuder Meer","","Steinhuder Meer","","Steinhuder Meer","施泰因胡德湖"
"Q192369","","","بحيرة إزنيق","","İznik Gölü","Lake İznik","Lago de İznik","lac d'Iznik","Ιζνίκ","","","","lago di İznik","","","Lake Iznik","","","Изник","","İznik Gölü","","伊兹尼克湖"
"Q250907","","","","","Traunsee","Traunsee","","Traunsee","","","Traunsee","","Traunsee","トラウン湖","트라운 호","Traunsee","Traunsee","","Траунзе","Traunsee","","","特勞恩湖"
"Q208180","","","بحيرة بولزينا","","Bolsenasee","Lake Bolsena","Lago de Bolsena","lac de Bolsena","Λίμνη Μπολσένα","","","Danau Bolsena","lago di Bolsena","ボルセーナ湖","볼세나 호","Meer van Bolsena","Bolsena","Lago Bolsena","Больсена","Bolsenasjön","","","博赛纳湖"
"Q265336","","","","","Ammersee","Ammersee","Lago Ammer","lac Ammer","","","Ammersee","Ammersee","Ammersee","アマー湖","","Ammersee","Ammer","Lago Ammersee","Аммерзе","Ammersee","","Hồ Ammer","阿默湖"
"Q272986","","","","","Çıldır Gölü","Lake Çıldır","Lago Çıldır","lac Çıldır","","","Bolond-tó","","","","","","","","Чилдыр","","Çıldır Gölü","","徹爾德爾湖"
"Q424815","","","","","Akşehir Gölü","Lake Akşehir","Lago Aksehir","lac d'Akşehir","","","","","","アクシェヒル湖","","","","","Акшехир","","Akşehir Gölü","","阿克謝希爾湖"
"Q573134","","","","","Tulos","Lake Tulos","","lac Toulos","","","","","","","","Toelos","","","Тулос","","","","圖洛斯湖"
"Q546146","","","بحيرة ورثير سي","","Wörthersee","Wörthersee","Wörthersee","Wörthersee","","","Wörthi-tó","","Wörther See","ヴェルター湖","뵈르트 호","Wörthersee","","Wörthersee","Вёртер-Зе","Wörthersee","","","韋爾特湖"
"Q572552","","","","","Miedwie","Miedwie","","Miedwie","","","","","lago Miedwie","","","Miedwie","Miedwie","Lago Miedwie","","Miedwie","","","梅德維湖"
"Q868012","","","","","","Lake Sapanca","","lacus Boanensis","Βοάνη","","","","","","","","","","Сапанджа","","Sapanca Gölü","","薩潘賈湖"
"Q601695","","","","","Marmara Gölü","Lake Marmara","Lago Mármara","","","","Marmara-tó","","","","","","","","","","Marmara Gölü","","馬爾馬拉湖"
"Q698516","","","","","Attersee","Attersee","","Attersee","","","Attersee","","Attersee","アッター湖","아터 호","Attersee","Attersee","","Аттерзе","Attersee","","","阿特湖"
"Q776956","","","","","Pamvotida-See","Lake Ioannina","Pamvótida","lac Pamvotida","Παμβώτιδα","","","","lago Pamvotida","ヨアニナ湖","","Meer van Ioannina","","","Янина","Límni Pamvótida","","","約阿尼納湖"
"Q799781","","","","","Bafa Gölü","Lake Bafa Nature Park","","lac Bafa","","","","","lago di Bafa","","","Lake Bafa Nature Park","","","Бафа","","Bafa Gölü","Hồ Bafa","巴法湖"
"Q1010475","","","بحيرة بوردور","","Burdur Gölü","Lake Burdur","Lago de Burdur","lac de Burdur","","","Burdur-tó","","","","","","Jezioro Burdur","","Бурдур","","Burdur Gölü","","布爾杜爾湖"
"Q896551","","","","","Braccianosee","Lake Bracciano","Lago de Bracciano","lac de Bracciano","Λα Μαρμότα","","","","lago di Bracciano","ブラッチャーノ湖","","Meer van Bracciano","Bracciano","Lago de Bracciano","Браччано","Braccianosjön","Bracciano Gölü","","布拉恰诺湖"
"Q1012060","","","","","Goplosee","Gopło","","","","","Gopło-tó","","lago Gopło","ゴプウォ湖","","Gopło","Gopło","","","","","","戈普沃湖"
"Q1366366","","","","","Erçek Gölü","Lake Erçek","","","","","","","lago di Erçek","","","Lake Erçek","","","Эрчек","","Erçek Gölü","","埃尔切克湖"
